Basin,Site,Date,Reader,Reader_Initials,Reach_Distance,Reach_Increment_km,Redds_by_increment,Total_redds,Active_Spawners
BH,Deep,11/15/24,1,NH,600,400-600,11,23,0
BH,Deep,11/15/24,1,NH,800,600-800,12,35,0
BH,Deep,11/15/24,1,NH,1000,800-1000,0,35,0
BH,Deep,11/15/24,1,NH,1200,1000-1200,1,36,0
BH,Deep,11/15/24,1,NH,1400,1200-1400,0,36,0
BH,Deep,11/15/24,1,NH,1600,1400-1600,1,37,0
BH,Deep,11/15/24,1,NH,1800,1600-1800,0,37,0
BH,Deep,11/15/24,1,NH,2000,1800-2000,0,37,0
BH,Deep,11/15/24,2,BW,200,0-200,5,5,1
BH,Deep,11/15/24,2,BW,400,200-400,7,12,0
BH,Deep,11/15/24,2,BW,600,400-600,10,22,0
BH,Deep,11/15/24,2,BW,800,600-800,12,34,0
BH,Deep,11/15/24,2,BW,1000,800-1000,0,34,0
BH,Deep,11/15/24,2,BW,1200,1000-1200,1,35,0
BH,Deep,11/15/24,2,BW,1400,1200-1400,0,35,0
BH,Deep,11/15/24,2,BW,1600,1400-1600,1,36,0
BH,Deep,11/15/24,2,BW,1800,1600-1800,0,36,0
BH,Deep,11/15/24,2,BW,2000,1800-2000,0,36,0
BV,Grasshopper,12/5/24,1,NH,200,0-200,2,2,0
BV,Grasshopper,12/5/24,1,NH,400,200-400,12,14,2
BV,Grasshopper,12/5/24,1,NH,600,400-600,10,24,1
BV,Grasshopper,12/5/24,1,NH,800,600-800,14,38,1
BV,Grasshopper,12/5/24,1,NH,1000,800-1000,9,47,0
BV,Grasshopper,12/5/24,1,NH,1200,1000-1200,4,51,3
BV,Grasshopper,12/5/24,1,NH,1400,1200-1400,1,52,0
BV,Grasshopper,12/5/24,1,NH,1600,1400-1600,3,55,0
BV,Grasshopper,12/5/24,1,NH,1800,1600-1800,5,60,0
BV,Grasshopper,12/5/24,1,NH,2000,1800-2000,5,65,1
BV,Grasshopper,12/5/24,2,LD,200,0-200,2,2,0
BV,Grasshopper,12/5/24,2,LD,400,200-400,10,12,2
BV,Grasshopper,12/5/24,2,LD,600,400-600,11,23,0
BV,Grasshopper,12/5/24,2,LD,800,600-800,14,37,1
BV,Grasshopper,12/5/24,2,LD,1000,800-1000,7,44,0
BV,Grasshopper,12/5/24,2,LD,1200,1000-1200,4,48,3
BV,Grasshopper,12/5/24,2,LD,1400,1200-1400,1,49,0
BV,Grasshopper,12/5/24,2,LD,1600,1400-1600,3,52,0
BV,Grasshopper,12/5/24,2,LD,1800,1600-1800,5,57,0
BV,Grasshopper,12/5/24,2,LD,2000,1800-2000,5,62,1
BV,Blacktail,12/5/24,1,NH,200,0-200,5,5,0
BV,Blacktail,12/5/24,1,NH,400,200-400,4,9,0
BV,Blacktail,12/5/24,1,NH,600,400-600,6,15,0
BV,Blacktail,12/5/24,1,NH,800,600-800,3,18,0
BV,Blacktail,12/5/24,1,NH,1000,800-1000,0,18,0
BV,Blacktail,12/5/24,2,LD,200,0-200,6,6,0
BV,Blacktail,12/5/24,2,LD,400,200-400,5,11,0
BV,Blacktail,12/5/24,2,LD,600,400-600,3,14,0
BV,Blacktail,12/5/24,2,LD,800,600-800,4,18,0
BV,Blacktail,12/5/24,2,LD,1000,800-1000,0,18,0
BV,Cox,12/5/24,1,NH,200,0-200,7,7,0
BV,Cox,12/5/24,1,NH,400,200-400,2,9,0
BV,Cox,12/5/24,1,NH,600,400-600,5,14,0
BV,Cox,12/5/24,1,NH,800,600-800,5,19,0
BV,Cox,12/5/24,1,NH,1000,800-1000,3,22,0
BV,Cox,12/5/24,1,NH,1200,1000-1200,0,22,0
BV,Cox,12/5/24,1,NH,1400,1200-1400,0,22,0
BV,Cox,12/5/24,1,NH,1600,1400-1600,4,26,0
BV,Cox,12/5/24,1,NH,1800,1600-1800,0,26,0
BV,Cox,12/5/24,2,LD,200,0-200,4,4,0
BV,Cox,12/5/24,2,LD,400,200-400,2,6,0
BV,Cox,12/5/24,2,LD,600,400-600,6,12,0
BV,Cox,12/5/24,2,LD,800,600-800,6,18,0
BV,Cox,12/5/24,2,LD,1000,800-1000,3,21,0
BV,Cox,12/5/24,2,LD,1200,1000-1200,0,21,0
BV,Cox,12/5/24,2,LD,1400,1200-1400,0,21,0
BV,Cox,12/5/24,2,LD,1600,1400-1600,3,24,0
BV,Cox,12/6/24,2,LD,1800,1600-1800,0,24,0
RB,Wisconsin,12/6/24,1,NH,200,0-200,3,3,0
RB,Wisconsin,12/6/24,1,NH,400,200-400,4,7,0
RB,Wisconsin,12/6/24,1,NH,600,400-600,2,9,0
RB,Wisconsin,12/6/24,1,NH,800,600-800,10,19,0
RB,Wisconsin,12/6/24,1,NH,1000,800-1000,4,23,0
RB,Wisconsin,12/6/24,1,NH,1200,1000-1200,0,23,0
RB,Wisconsin,12/6/24,2,LD,200,0-200,4,4,0
RB,Wisconsin,12/6/24,2,LD,400,200-400,3,7,0
RB,Wisconsin,12/6/24,2,LD,600,400-600,1,8,0
RB,Wisconsin,12/6/24,2,LD,800,600-800,9,17,0
RB,Wisconsin,12/6/24,2,LD,1000,800-1000,2,19,0
RB,Wisconsin,12/6/24,2,LD,1200,1000-1200,0,19,0
RB,Mill,12/6/24,1,NH,200,0-200,6,6,0
RB,Mill,12/6/24,1,NH,400,200-400,5,11,0
RB,Mill,12/6/24,1,NH,600,400-600,1,12,0
RB,Mill,12/6/24,1,NH,800,600-800,1,13,0
RB,Mill,12/6/24,1,NH,1000,800-1000,6,19,0
RB,Mill,12/6/24,1,NH,1200,1000-1200,5,24,0
RB,Mill,12/6/24,1,NH,1400,1200-1400,1,25,0
RB,Mill,12/6/24,1,NH,1600,1400-1600,5,30,0
RB,Mill,12/6/24,1,NH,1800,1600-1800,0,30,0
RB,Mill,12/6/24,1,NH,2000,1800-2000,0,30,0
RB,Mill,12/6/24,2,LD,200,0-200,7,7,0
RB,Mill,12/6/24,2,LD,400,200-400,4,11,0
RB,Mill,12/6/24,2,LD,600,400-600,1,12,0
RB,Mill,12/6/24,2,LD,800,600-800,1,13,0
RB,Mill,12/6/24,2,LD,1000,800-1000,4,17,0
RB,Mill,12/6/24,2,LD,1200,1000-1200,3,20,0
RB,Mill,12/6/24,2,LD,1400,1200-1400,1,21,0
RB,Mill,12/6/24,2,LD,1600,1400-1600,4,24,0
RB,Mill,12/6/24,2,LD,1800,1600-1800,0,24,0
RB,Mill,12/6/24,2,LD,2000,1800-2000,0,24,0
RB,Silver,12/6/24,1,NH,200,0-200,4,4,2
RB,Silver,12/6/24,1,NH,400,200-400,5,9,1
RB,Silver,12/6/24,1,NH,600,400-600,1,10,0
RB,Silver,12/6/24,1,NH,800,600-800,2,12,1
RB,Silver,12/6/24,1,NH,1000,800-1000,6,18,0
RB,Silver,12/6/24,1,NH,1200,1000-1200,1,19,0
RB,Silver,12/6/24,1,NH,1400,1200-1400,0,19,0
RB,Silver,12/6/24,2,LD,200,0-200,3,3,2
RB,Silver,12/6/24,2,LD,400,200-400,5,8,0
RB,Silver,12/6/24,2,LD,600,400-600,1,9,1
RB,Silver,12/6/24,2,LD,800,600-800,3,14,1
RB,Silver,12/6/24,2,LD,1000,800-1000,1,15,0
RB,Silver,12/6/24,2,LD,1200,1000-1200,1,16,0
RB,Silver,12/6/24,2,LD,1400,1200-1400,0,16,0
RB,Alder,12/6/24,1,NH,200,0-200,30,30,0
RB,Alder,12/6/24,1,NH,400,200-400,9,39,0
RB,Alder,12/6/24,1,NH,600,400-600,9,48,0
RB,Alder,12/6/24,1,NH,800,600-800,11,59,0
RB,Alder,12/6/24,1,NH,1000,800-1000,10,69,0
RB,Alder,12/6/24,1,NH,1200,1000-1200,12,81,0
RB,Alder,12/6/24,1,NH,1400,1200-1400,5,86,0
RB,Alder,12/6/24,1,NH,1600,1400-1600,1,87,0
RB,Alder,12/6/24,2,LD,200,0-200,27,27,0
RB,Alder,12/6/24,2,LD,400,200-400,9,36,0
RB,Alder,12/6/24,2,LD,600,400-600,8,44,0
RB,Alder,12/6/24,2,LD,800,600-800,7,51,0
RB,Alder,12/6/24,2,LD,1000,800-1000,8,59,0
RB,Alder,12/6/24,2,LD,1200,1000-1200,6,65,0
RB,Alder,12/6/24,2,LD,1400,1200-1400,8,73,0
RB,Alder,12/6/24,2,LD,1600,1400-1600,2,75,0
